ngram,hawkish,dovish,total,prob_feature_given_hawkish,prob_feature_given_dovish,polarity_score,polarity
법률/NNG,358,211,569,5.6829853007521545e-05,4.203354715327304e-05,1.3520118299865245,Hawkish
숙박/NNG,372,195,567,5.90522494938492e-05,3.8846169170086455e-05,1.5201563179960218,Hawkish
치열/NNG,365,199,564,5.794105125068537e-05,3.96430136658831e-05,1.4615702968250774,Hawkish
구성원/NNG,366,198,564,5.8099793856851634e-05,3.944380254193394e-05,1.4729764909223426,Hawkish
역성장/NNG,366,196,562,5.8099793856851634e-05,3.904538029403562e-05,1.4880068632786931,Hawkish
순수출/NNG,388,174,562,6.159213119250939e-05,3.466273556715407e-05,1.7768975871273485,Hawkish
최적/NNG,352,208,560,5.587739737052397e-05,4.143591378142555e-05,1.3485257659642127,Hawkish
소속/NNG,353,206,559,5.603613997669024e-05,4.103749153352723e-05,1.365486482791212,Hawkish
다각화/NNG,362,197,559,5.746482343218659e-05,3.924459141798478e-05,1.4642737089588336,Hawkish
시공/NNG,363,196,559,5.762356603835285e-05,3.904538029403562e-05,1.475810085710835,Hawkish
측정/NNG,350,209,559,5.555991215819145e-05,4.163512490537472e-05,1.3344480720176528,Hawkish
대중/NNG,356,200,556,5.651236779518902e-05,3.9842224789832265e-05,1.4184039192914493,Hawkish
공포/NNG,353,203,556,5.603613997669024e-05,4.043985816167975e-05,1.3856660859851706,Hawkish
무너/VV,391,165,556,6.206835901100817e-05,3.286983545161162e-05,1.8883075670512652,Hawkish
체크카드/NNG,348,206,554,5.524242694585893e-05,4.103749153352723e-05,1.3461453144797215,Hawkish
자금사정/NNG,373,180,553,5.921099210001546e-05,3.585800231084904e-05,1.6512629896869868,Hawkish
나눠/VV,387,165,552,6.143338858634312e-05,3.286983545161162e-05,1.8689898425801528,Hawkish
시급/NNG,358,193,551,5.6829853007521545e-05,3.8447746922188135e-05,1.4781061975500345,Hawkish
부지/NNG,355,195,550,5.635362518902276e-05,3.8846169170086455e-05,1.4506868088402896,Hawkish
눈높이/NNG,343,204,547,5.444871391502762e-05,4.063906928562891e-05,1.3398120299541945,Hawkish
침체국면/NNG,340,206,546,5.397248609652884e-05,4.103749153352723e-05,1.3151994451813371,Hawkish
통화/NNG;긴축/NNG,384,161,545,6.0957160767844335e-05,3.207299095581497e-05,1.9005761218784163,Hawkish
회원/NNG,368,174,542,5.841727906918416e-05,3.466273556715407e-05,1.6853049279970729,Hawkish
실거래/NNG,380,161,541,6.032219034317929e-05,3.207299095581497e-05,1.8807784539421828,Hawkish
외화자금/NNG,338,203,541,5.365500088419632e-05,4.043985816167975e-05,1.3267850908299934,Hawkish
원달러/NNG;상승/NNG,397,143,540,6.302081464800573e-05,2.848719072473007e-05,2.21225094664377,Hawkish
보강/NNG,341,198,539,5.41312287026951e-05,3.944380254193394e-05,1.3723633426352977,Hawkish
임차인/NNG,376,162,538,5.9687219918514246e-05,3.2272202079764135e-05,1.849493250289863,Hawkish
취업/NNG,345,191,536,5.476619912736015e-05,3.804932467428981e-05,1.4393474679556149,Hawkish
전기요금/NNG,344,192,536,5.460745652119388e-05,3.824853579823897e-05,1.4277005741931723,Hawkish
최우선/NNG,332,202,534,5.270254524719875e-05,4.0240647037730585e-05,1.3096843397618232,Hawkish
주민/NNG,342,189,531,5.428997130886136e-05,3.765090242639149e-05,1.44193014802234,Hawkish
본토/NNG,401,126,527,6.365578507267077e-05,2.5100601617594325e-05,2.5360262691094664,Hawkish
기한/NNG,330,197,527,5.238506003486623e-05,3.924459141798478e-05,1.3348351490508703,Hawkish
